pkey,pkey_cat,icd9_code,icd10_code,flags
01766-A187,icd9-icd10,01766,A187,10000
01770-A1885,icd9-icd10,01770,A1885,10000
01771-A1885,icd9-icd10,01771,A1885,10000
01772-A1885,icd9-icd10,01772,A1885,10000
01773-A1885,icd9-icd10,01773,A1885,10000
01774-A1885,icd9-icd10,01774,A1885,10000
01775-A1885,icd9-icd10,01775,A1885,10000
01776-A1885,icd9-icd10,01776,A1885,10000
01780-A1889,icd9-icd10,01780,A1889,10000
01781-A1889,icd9-icd10,01781,A1889,10000
01782-A1889,icd9-icd10,01782,A1889,10000
01783-A1889,icd9-icd10,01783,A1889,10000
01784-A1889,icd9-icd10,01784,A1889,10000
01785-A1889,icd9-icd10,01785,A1889,10000
01786-A1889,icd9-icd10,01786,A1889,10000
01790-A1884,icd9-icd10,01790,A1884,10000
01791-A1884,icd9-icd10,01791,A1884,10000
01791-A1889,icd9-icd10,01791,A1889,10000
01792-A1884,icd9-icd10,01792,A1884,10000
01792-A1889,icd9-icd10,01792,A1889,10000
01793-A1884,icd9-icd10,01793,A1884,10000
01793-A1889,icd9-icd10,01793,A1889,10000
01794-A1884,icd9-icd10,01794,A1884,10000
01794-A1889,icd9-icd10,01794,A1889,10000
01795-A1884,icd9-icd10,01795,A1884,10000
01795-A1889,icd9-icd10,01795,A1889,10000
01796-A1884,icd9-icd10,01796,A1884,10000
01796-A1889,icd9-icd10,01796,A1889,10000
01800-A192,icd9-icd10,01800,A192,10000
01801-A192,icd9-icd10,01801,A192,10000
01802-A192,icd9-icd10,01802,A192,10000
01803-A192,icd9-icd10,01803,A192,10000
01804-A192,icd9-icd10,01804,A192,10000
01805-A192,icd9-icd10,01805,A192,10000
01806-A192,icd9-icd10,01806,A192,10000
01880-A198,icd9-icd10,01880,A198,10000
01881-A198,icd9-icd10,01881,A198,10000
01882-A198,icd9-icd10,01882,A198,10000
01883-A198,icd9-icd10,01883,A198,10000
01884-A198,icd9-icd10,01884,A198,10000
01885-A198,icd9-icd10,01885,A198,10000
01886-A198,icd9-icd10,01886,A198,10000
01890-A199,icd9-icd10,01890,A199,10000
01891-A199,icd9-icd10,01891,A199,10000
01892-A199,icd9-icd10,01892,A199,10000
01893-A199,icd9-icd10,01893,A199,10000
01894-A199,icd9-icd10,01894,A199,10000
01895-A199,icd9-icd10,01895,A199,10000
01896-A199,icd9-icd10,01896,A199,10000
0200-A200,icd9-icd10,0200,A200,00000
0201-A201,icd9-icd10,0201,A201,00000
0202-A207,icd9-icd10,0202,A207,00000
0203-A202,icd9-icd10,0203,A202,10000
0204-A202,icd9-icd10,0204,A202,10000
0205-A202,icd9-icd10,0205,A202,10000
